dsgdb9nsd_000054	CC(C)(C)C
dsgdb9nsd_000055	CC(C)(C)O
dsgdb9nsd_000081	CC(C)CO
dsgdb9nsd_000083	CCC(C)C
dsgdb9nsd_000084	CCC(C)O
dsgdb9nsd_000085	COC(C)C
dsgdb9nsd_000086	CC1(C)CC1
dsgdb9nsd_000095	CC1CCC1
dsgdb9nsd_000100	CC1CC1C
dsgdb9nsd_000133	CCCCC
dsgdb9nsd_000134	CCCCO
dsgdb9nsd_000135	CCCOC
dsgdb9nsd_000136	CCOCC
dsgdb9nsd_000149	CCC1CC1
dsgdb9nsd_000159	C1CCCC1
dsgdb9nsd_000180	CCC(C)=NO
dsgdb9nsd_000219	CC(C)(C)C#C
dsgdb9nsd_000220	CC(C)(C)C#N
dsgdb9nsd_000224	CC(C)(C)C=O
dsgdb9nsd_000226	CC(C)(C)CO
dsgdb9nsd_000227	CC(C)(O)CO
dsgdb9nsd_000228	CCC(C)(C)C
dsgdb9nsd_000229	CCC(C)(C)O
dsgdb9nsd_000230	COC(C)(C)C
dsgdb9nsd_000233	CC#CC(C)C
dsgdb9nsd_000250	CC(C)CC#C
dsgdb9nsd_000251	CC(C)CC#N
dsgdb9nsd_000255	CC(C)CC=O
dsgdb9nsd_000256	CC(C)NC=O
dsgdb9nsd_000259	CN(C)CC=O
dsgdb9nsd_000261	CCCC(C)=O
dsgdb9nsd_000262	CCCC(N)=O
dsgdb9nsd_000263	CCNC(C)=O
dsgdb9nsd_000272	CC(C)CCO
dsgdb9nsd_000273	CC(O)CCO
dsgdb9nsd_000274	CCCC(C)C
dsgdb9nsd_000275	CCCC(C)O
dsgdb9nsd_000276	CCOC(C)C
dsgdb9nsd_000277	COCC(C)C
dsgdb9nsd_000278	COCC(C)O
dsgdb9nsd_000284	CC(C)C(C)=O
dsgdb9nsd_000285	CC(C)C(N)=O
dsgdb9nsd_000289	CN(C)C(C)=O
dsgdb9nsd_000291	CC(C)C(C)C
dsgdb9nsd_000292	CC(C)C(C)O
dsgdb9nsd_000293	CC(O)C(C)O
dsgdb9nsd_000294	CC1(C)CCC1
dsgdb9nsd_000295	CC1(C)CCO1
dsgdb9nsd_000296	CC1(C)COC1
dsgdb9nsd_000297	CC1(O)CCC1
dsgdb9nsd_000299	CC1(C)CC1O
dsgdb9nsd_000301	CC1CC1(C)C
dsgdb9nsd_000302	CC1CC1(C)O
dsgdb9nsd_000303	CC1OC1(C)C
dsgdb9nsd_000304	CN1CC1(C)C
dsgdb9nsd_000311	CC1CC(C)C1
dsgdb9nsd_000312	CC1CC(C)O1
dsgdb9nsd_000313	CC1CC(O)C1
dsgdb9nsd_000314	CN1CC(O)C1
dsgdb9nsd_000316	CC12CC(C1)C2
dsgdb9nsd_000318	CC12CN(C1)C2
dsgdb9nsd_000358	CCC(=O)CC
dsgdb9nsd_000360	CCC(=O)NC
dsgdb9nsd_000368	COC(C)=NC
dsgdb9nsd_000371	CCC(C)C#C
dsgdb9nsd_000372	CCC(C)C#N
dsgdb9nsd_000385	CCC(C)C=O
dsgdb9nsd_000387	CCN(C)C=O
dsgdb9nsd_000390	CC(CO)CO
dsgdb9nsd_000391	CCC(C)CC
dsgdb9nsd_000392	CCC(C)CO
dsgdb9nsd_000393	CCC(C)OC
dsgdb9nsd_000394	CCC(O)CC
dsgdb9nsd_000395	CCC(O)CO
dsgdb9nsd_000396	COC(C)CO
dsgdb9nsd_000411	CC1(CO)CC1
dsgdb9nsd_000412	CC1(CO)CN1
dsgdb9nsd_000414	CCC1(C)CC1
dsgdb9nsd_000415	CCC1(C)CO1
dsgdb9nsd_000416	CCC1(O)CC1
dsgdb9nsd_000417	COC1(C)CC1
dsgdb9nsd_000432	CC1CCC1C
dsgdb9nsd_000433	CC1CCC1O
dsgdb9nsd_000434	CC1COC1C
dsgdb9nsd_000456	CC1=CCCC1
dsgdb9nsd_000459	CC1CC=CC1
dsgdb9nsd_000462	CC1CCC=C1
dsgdb9nsd_000466	CC1CCCC1
dsgdb9nsd_000467	CC1CCCO1
dsgdb9nsd_000468	CC1CCOC1
dsgdb9nsd_000471	OC1CCCC1
dsgdb9nsd_000473	CC1C(C)C1C
dsgdb9nsd_000474	CC1C(C)C1O
dsgdb9nsd_000475	CC1C(C)N1C
dsgdb9nsd_000478	CC12CC1CC2
dsgdb9nsd_000517	CCC#CCC
dsgdb9nsd_000520	CCN=COC
dsgdb9nsd_000522	CCCC#CC
dsgdb9nsd_000524	CCOC=NC
dsgdb9nsd_000525	CCCCC#C
dsgdb9nsd_000526	CCCCC#N
dsgdb9nsd_000534	CCCCC=O
dsgdb9nsd_000535	CCCNC=O
dsgdb9nsd_000543	CCCCCC
dsgdb9nsd_000544	CCCCCO
dsgdb9nsd_000545	CCCCOC
dsgdb9nsd_000546	CCCOCC
dsgdb9nsd_000547	CCOCCO
dsgdb9nsd_000548	COCCCO
dsgdb9nsd_000549	COCCOC
dsgdb9nsd_000550	OCCCCO
dsgdb9nsd_000563	CCC1CCC1
dsgdb9nsd_000564	CCC1CCO1
dsgdb9nsd_000565	CCC1COC1
dsgdb9nsd_000566	COC1CCC1
dsgdb9nsd_000568	OCC1CCC1
dsgdb9nsd_000588	CCCC1CC1
dsgdb9nsd_000589	CCCC1CO1
dsgdb9nsd_000590	CCCN1CC1
dsgdb9nsd_000591	CCOC1CC1
dsgdb9nsd_000592	COCC1CC1
dsgdb9nsd_000593	COCC1CN1
dsgdb9nsd_000595	OCCC1CC1
dsgdb9nsd_000597	OCCN1CC1
dsgdb9nsd_000614	CC1CC1CO
dsgdb9nsd_000615	CC1NC1CO
dsgdb9nsd_000617	CCC1CC1C
dsgdb9nsd_000618	CCC1CC1O
dsgdb9nsd_000619	CCC1CN1C
dsgdb9nsd_000620	CCC1OC1C
dsgdb9nsd_000621	CCN1CC1C
dsgdb9nsd_000622	CN1CC1CO
dsgdb9nsd_000623	COC1CC1C
dsgdb9nsd_000634	CC(C)C1CC1
dsgdb9nsd_000635	CC(C)C1CO1
dsgdb9nsd_000636	CC(C)N1CC1
dsgdb9nsd_000637	CC(O)C1CC1
dsgdb9nsd_000638	CC(O)C1CN1
dsgdb9nsd_000640	C1CC11CCC1
dsgdb9nsd_000648	C1C2CC1CC2
dsgdb9nsd_000651	CC1C2CC1C2
dsgdb9nsd_000656	C1CCC=CC1
dsgdb9nsd_000658	C1CCCCC1
dsgdb9nsd_000659	C1CCOCC1
dsgdb9nsd_000662	C1CC2CCC12
dsgdb9nsd_000665	CC1C2CCC12
dsgdb9nsd_000673	C1C2CCCC12
dsgdb9nsd_000688	CC1CC2CC12
dsgdb9nsd_000701	C1CC1C1CC1
dsgdb9nsd_000703	C1CC1N1CC1
dsgdb9nsd_000795	CC(CCO)=NO
dsgdb9nsd_000796	CCCC(C)=NO
dsgdb9nsd_000797	COCC(C)=NO
dsgdb9nsd_000798	CC(=NO)C(C)=NO
dsgdb9nsd_000800	CC(C)C(C)=NO
dsgdb9nsd_000801	CC(O)C(C)=NO
dsgdb9nsd_000802	CC1CC(C1)=NO
dsgdb9nsd_000803	CN1CC(C1)=NO
dsgdb9nsd_000808	CCC(CC)=NO
dsgdb9nsd_000809	CCC(CO)=NO
dsgdb9nsd_000810	CC1CCC1=NO
dsgdb9nsd_000811	CC1NCC1=NO
dsgdb9nsd_000817	ON=C1CCCC1
dsgdb9nsd_000819	CC(=NO)C1CC1
dsgdb9nsd_000820	CC(=NO)C1CN1
dsgdb9nsd_000832	CC1=CC(C)=CN1
dsgdb9nsd_000833	CC1=CC(C)=CO1
dsgdb9nsd_000834	CC1=CC(N)=CN1
dsgdb9nsd_000838	CC1=CNC(N)=C1
dsgdb9nsd_000844	CC1=NC(C)=CN1
dsgdb9nsd_000861	CC1=CC=C(C)N1
dsgdb9nsd_000862	CC1=CC=C(C)O1
dsgdb9nsd_000863	CC1=CC=C(N)N1
dsgdb9nsd_000900	CN1C=CC(C)=C1
dsgdb9nsd_000901	CN1C=CC(N)=C1
dsgdb9nsd_000903	CN1C=NC(C)=C1
dsgdb9nsd_000930	CC1=CC=CC=C1
dsgdb9nsd_000959	CC1=C(C)C=CN1
dsgdb9nsd_000960	CC1=C(C)C=CO1
dsgdb9nsd_000961	CC1=C(C)N=CN1
dsgdb9nsd_000963	CC1=C(N)C=CN1
dsgdb9nsd_000966	CC1=C(N)NC=C1
dsgdb9nsd_000986	CC1=CNC=C1C
dsgdb9nsd_000987	CC1=CNC=C1N
dsgdb9nsd_000989	CC1=COC=C1C
dsgdb9nsd_000995	CN1C=CC=C1C
dsgdb9nsd_000996	CN1C=CC=C1N
dsgdb9nsd_000998	CN1C=CN=C1C
dsgdb9nsd_001000	CN1C=NC=C1C
dsgdb9nsd_001039	CCC1=CC=CN1
dsgdb9nsd_001040	CCC1=CC=CO1
dsgdb9nsd_001042	CCC1=NC=CN1
dsgdb9nsd_001044	CNC1=CC=CN1
dsgdb9nsd_001061	CCC1=CNC=C1
dsgdb9nsd_001062	CCC1=CNC=N1
dsgdb9nsd_001063	CCC1=COC=C1
dsgdb9nsd_001065	CNC1=CNC=C1
dsgdb9nsd_001077	CCN1C=CC=C1
dsgdb9nsd_001078	CCN1C=CN=C1
dsgdb9nsd_001082	CC#CC(C)(C)C
dsgdb9nsd_001083	CC#CC(C)(C)O
dsgdb9nsd_001084	CC(C)(C)CC#C
dsgdb9nsd_001085	CC(C)(C)CC#N
dsgdb9nsd_001086	CC(C)(O)CC#C
dsgdb9nsd_001087	CC(C)(O)CC#N
dsgdb9nsd_001088	CC(C)(C)CC=O
dsgdb9nsd_001089	CC(C)(C)NC=O
dsgdb9nsd_001090	CC(C)(C)OC=O
dsgdb9nsd_001091	CC(C)(O)CC=O
dsgdb9nsd_001092	CC(C)(C)CCO
dsgdb9nsd_001093	CC(C)(O)CCO
dsgdb9nsd_001094	CCCC(C)(C)C
dsgdb9nsd_001095	CCCC(C)(C)O
dsgdb9nsd_001096	CCOC(C)(C)C
dsgdb9nsd_001097	COCC(C)(C)C
dsgdb9nsd_001098	COCC(C)(C)O
dsgdb9nsd_001099	CC(=O)C(C)(C)C
dsgdb9nsd_001100	CC(=O)C(C)(C)O
dsgdb9nsd_001101	CC(C)(C)C(N)=O
dsgdb9nsd_001103	CC(C)(O)C(N)=O
dsgdb9nsd_001104	CC(C)C(C)(C)C
dsgdb9nsd_001105	CC(C)C(C)(C)O
dsgdb9nsd_001106	CC(O)C(C)(C)C
dsgdb9nsd_001107	CC(O)C(C)(C)O
dsgdb9nsd_001108	CC(=N)NC(C)=O
dsgdb9nsd_001112	CC(=O)CC(C)=O
dsgdb9nsd_001120	CC(C)CC(C)=O
dsgdb9nsd_001121	CC(C)CC(N)=O
dsgdb9nsd_001122	CC(C)NC(C)=O
dsgdb9nsd_001123	CC(C)NC(N)=O
dsgdb9nsd_001124	CC(C)OC(C)=O
dsgdb9nsd_001125	CC(C)OC(N)=O
dsgdb9nsd_001127	CC(O)CC(C)=O
dsgdb9nsd_001128	CC(O)CC(N)=O
dsgdb9nsd_001130	CC(C)CC(C)C
dsgdb9nsd_001131	CC(C)CC(C)O
dsgdb9nsd_001132	CC(C)OC(C)C
dsgdb9nsd_001133	CC(O)CC(C)O
dsgdb9nsd_001134	CC1(C)CC(=N)O1
dsgdb9nsd_001135	CC1(C)CC(=O)C1
dsgdb9nsd_001136	CC1(C)CC(=O)N1
dsgdb9nsd_001137	CC1(C)CC(=O)O1
dsgdb9nsd_001138	CC1(O)CC(=O)C1
dsgdb9nsd_001139	CC1(C)CC(O)C1
dsgdb9nsd_001140	CC1(O)CC(O)C1
dsgdb9nsd_001141	CC1CC(C)(C)C1
dsgdb9nsd_001142	CC1CC(C)(C)O1
dsgdb9nsd_001143	CC1CC(C)(O)C1
dsgdb9nsd_001144	CN1CC(C)(O)C1
dsgdb9nsd_001145	CC1(C)CC1(C)C
dsgdb9nsd_001146	CC1(C)CC1(C)O
dsgdb9nsd_001147	CC1(C)OC1(C)C
dsgdb9nsd_001148	CC1(O)CC1(C)O
dsgdb9nsd_001149	CC12CC(C)(C1)C2
dsgdb9nsd_001150	CC12CC(C)(C1)O2
dsgdb9nsd_001151	CC12CC(O)(C1)C2
dsgdb9nsd_001152	OC12CC(O)(C1)C2
dsgdb9nsd_001153	CC(C)(C#C)C#C
dsgdb9nsd_001161	CC(C)(C=O)C#C
dsgdb9nsd_001165	CC(C)(C=O)C=O
dsgdb9nsd_001167	CC(C)(CO)C#C
dsgdb9nsd_001168	CC(C)(CO)C#N
dsgdb9nsd_001169	CC(N)(CN)C#N
dsgdb9nsd_001170	CC(N)(CO)C#N
dsgdb9nsd_001171	CC(O)(CN)C#N
dsgdb9nsd_001172	CC(O)(CO)C#C
dsgdb9nsd_001174	CCC(C)(C)C#C
dsgdb9nsd_001175	CCC(C)(C)C#N
